timestamp,LDWP_Hydro
1/1/1998, 0.43751 
2/1/1998, 0.37167 
3/1/1998, 0.50534 
4/1/1998, 0.69630 
5/1/1998, 0.65463 
6/1/1998, 0.43980 
7/1/1998, 0.33855 
8/1/1998, 0.51996 
9/1/1998, 0.53647 
10/1/1998, 0.69749 
11/1/1998, 0.65174 
12/1/1998, 0.68695 
1/1/1999, 0.31419 
2/1/1999, 0.28196 
3/1/1999, 0.45014 
4/1/1999, 0.57476 
5/1/1999, 0.46954 
6/1/1999, 0.45561 
7/1/1999, 0.50286 
8/1/1999, 0.56581 
9/1/1999, 0.53608 
10/1/1999, 0.40549 
11/1/1999, 0.34124 
12/1/1999, 0.30245 
1/1/2000, 0.28306 
2/1/2000, 0.30683 
3/1/2000, 0.35039 
4/1/2000, 0.44627 
5/1/2000, 0.56174 
6/1/2000, 0.56243 
7/1/2000, 0.57506 
8/1/2000, 0.48217 
9/1/2000, 0.28345 
10/1/2000, 0.27759 
11/1/2000, 0.34840 
12/1/2000, 0.29111 
1/1/2001, 0.31230 
2/1/2001, 0.28693 
3/1/2001, 0.32344 
4/1/2001, 0.34104 
5/1/2001, 0.40131 
6/1/2001, 0.57337 
7/1/2001, 0.57745 
8/1/2001, 0.43702 
9/1/2001, 0.41862 
10/1/2001, 0.39922 
11/1/2001, 0.27430 
12/1/2001, 0.33368 
1/1/2002, 0.32045 
2/1/2002, 0.29201 
3/1/2002, 0.31438 
4/1/2002, 0.38739 
5/1/2002, 0.62280 
6/1/2002, 0.51589 
7/1/2002, 0.52464 
8/1/2002, 0.47362 
9/1/2002, 0.34860 
10/1/2002, 0.36411 
11/1/2002, 0.42816 
12/1/2002, 0.28872 
1/1/2003, 0.29917 
2/1/2003, 0.29608 
3/1/2003, 0.33477 
4/1/2003, 0.42319 
5/1/2003, 0.45492 
6/1/2003, 0.40529 
7/1/2003, 0.48018 
8/1/2003, 0.51917 
9/1/2003, 0.49152 
10/1/2003, 0.34790 
11/1/2003, 0.34372 
12/1/2003, 0.33408 
1/1/2004, 0.36143 
2/1/2004, 0.36779 
3/1/2004, 0.41464 
4/1/2004, 0.41862 
5/1/2004, 0.41404 
6/1/2004, 0.41136 
7/1/2004, 0.38818 
8/1/2004, 0.35914 
9/1/2004, 0.32254 
10/1/2004, 0.31220 
11/1/2004, 0.31717 
12/1/2004, 0.34432 
1/1/2005, 0.44756 
2/1/2005, 0.42617 
3/1/2005, 0.44030 
4/1/2005, 0.49182 
5/1/2005, 0.56661 
6/1/2005, 0.53926 
7/1/2005, 0.47610 
8/1/2005, 0.42936 
9/1/2005, 0.38381 
10/1/2005, 0.43204 
11/1/2005, 0.46874 
12/1/2005, 0.45681 
1/1/2006, 0.54125 
2/1/2006, 0.50972 
3/1/2006, 0.54582 
4/1/2006, 0.61305 
5/1/2006, 0.64399 
6/1/2006, 0.65164 
7/1/2006, 0.51857 
8/1/2006, 0.46457 
9/1/2006, 0.40131 
10/1/2006, 0.42389 
11/1/2006, 0.47491 
12/1/2006, 0.47173 
1/1/2007, 0.37923 
2/1/2007, 0.36531 
3/1/2007, 0.42448 
4/1/2007, 0.43105 
5/1/2007, 0.46427 
6/1/2007, 0.44457 
7/1/2007, 0.44189 
8/1/2007, 0.40658 
9/1/2007, 0.36232 
10/1/2007, 0.35904 
11/1/2007, 0.35646 
12/1/2007, 0.33428 
1/1/2008, 0.37287 
2/1/2008, 0.35039 
3/1/2008, 0.39495 
4/1/2008, 0.48863 
5/1/2008, 0.51280 
6/1/2008, 0.46944 
7/1/2008, 0.46079 
8/1/2008, 0.45939 
9/1/2008, 0.35894 
10/1/2008, 0.32622 
11/1/2008, 0.32115 
12/1/2008, 0.30703 
1/1/2009, 0.32672 
2/1/2009, 0.33537 
3/1/2009, 0.40350 
4/1/2009, 0.43403 
5/1/2009, 0.45949 
6/1/2009, 0.42468 
7/1/2009, 0.41951 
8/1/2009, 0.39166 
9/1/2009, 0.34402 
10/1/2009, 0.34482 
11/1/2009, 0.32423 
12/1/2009, 0.32622 
1/1/2010, 0.35834 
2/1/2010, 0.34631 
3/1/2010, 0.42737 
4/1/2010, 0.46685 
5/1/2010, 0.55925 
6/1/2010, 0.59475 
7/1/2010, 0.52305 
8/1/2010, 0.47769 
9/1/2010, 0.42409 
10/1/2010, 0.39982 
11/1/2010, 0.41693 
12/1/2010, 0.48684 
1/1/2011, 0.41315 
2/1/2011, 0.38112 
3/1/2011, 0.48406 
4/1/2011, 0.52364 
5/1/2011, 0.53747 
6/1/2011, 0.52872 
7/1/2011, 0.50087 
8/1/2011, 0.44935 
9/1/2011, 0.40419 
10/1/2011, 0.36222 
11/1/2011, 0.36014 
12/1/2011, 0.34382 
1/1/2012, 0.36471 
2/1/2012, 0.35775 
3/1/2012, 0.40022 
4/1/2012, 0.46566 
5/1/2012, 0.51877 
6/1/2012, 0.49062 
7/1/2012, 0.46327 
8/1/2012, 0.44358 
9/1/2012, 0.40061 
10/1/2012, 0.36183 
11/1/2012, 0.36899 
12/1/2012, 0.37883 
1/1/2013, 0.32035 
2/1/2013, 0.31906 
3/1/2013, 0.35964 
4/1/2013, 0.38122 
5/1/2013, 0.38271 
6/1/2013, 0.37943 
7/1/2013, 0.37127 
8/1/2013, 0.35317 
9/1/2013, 0.31429 
10/1/2013, 0.32165 
11/1/2013, 0.29151 
12/1/2013, 0.29320 
1/1/2014, 0.29678 
2/1/2014, 0.30514 
3/1/2014, 0.34601 
4/1/2014, 0.36063 
5/1/2014, 0.37217 
6/1/2014, 0.36292 
7/1/2014, 0.35934 
8/1/2014, 0.32930 
9/1/2014, 0.30991 
10/1/2014, 0.28604 
11/1/2014, 0.30195 
12/1/2014, 0.28753 
1/1/2015, 0.30414 
2/1/2015, 0.28266 
3/1/2015, 0.32284 
4/1/2015, 0.32721 
5/1/2015, 0.30901 
6/1/2015, 0.31080 
7/1/2015, 0.30613 
8/1/2015, 0.30782 
9/1/2015, 0.29708 
10/1/2015, 0.27868 
11/1/2015, 0.28127 
12/1/2015, 0.28286 
1/1/2016, 0.30414 
2/1/2016, 0.31906 
3/1/2016, 0.37724 
4/1/2016, 0.37963 
5/1/2016, 0.37306 
6/1/2016, 0.37724 
7/1/2016, 0.36610 
8/1/2016, 0.34263 
9/1/2016, 0.33109 
10/1/2016, 0.30374 
11/1/2016, 0.32513 
12/1/2016, 0.31985 
1/1/2017, 0.52653 
2/1/2017, 0.50982 
3/1/2017, 0.61485 
4/1/2017, 0.61296 
5/1/2017, 0.64786 
6/1/2017, 0.60957 
7/1/2017, 0.58063 
8/1/2017, 0.53060 
9/1/2017, 0.45611 
10/1/2017, 0.41334 
11/1/2017, 0.40937 
12/1/2017, 0.40141 
1/1/2018, 0.34989 
2/1/2018, 0.35188 
3/1/2018, 0.40290 
4/1/2018, 0.49629 
5/1/2018, 0.49520 
6/1/2018, 0.47441 
7/1/2018, 0.46506 
8/1/2018, 0.61037 
9/1/2018, 0.53777 
10/1/2018, 0.49709 
11/1/2018, 0.41315 
12/1/2018, 0.37784 
1/1/2019, 0.31588 
2/1/2019, 0.39296 
3/1/2019, 0.51141 
4/1/2019, 0.73409 
5/1/2019, 0.62151 
6/1/2019, 0.53816 
7/1/2019, 0.54443 
8/1/2019, 0.54343 
9/1/2019, 0.63573 
10/1/2019, 0.61504 
11/1/2019, 0.36978 
12/1/2019, 0.34989 
1/1/2020, 0.32582 
2/1/2020, 0.42299 
3/1/2020, 0.49997 
4/1/2020, 0.48704 
5/1/2020, 0.59764 
6/1/2020, 0.50017 
7/1/2020, 0.46089 
8/1/2020, 0.59137 
9/1/2020, 0.58372 
10/1/2020, 0.38778 
11/1/2020, 0.37376 
12/1/2020, 0.40807 
